isosubtype
IGHA
IGHD
IGHE
IGHG1
IGHG2
IGHG3
IGHG4
IGHM
IGHA1
IGHA2
IGHA1*01
IGHG2*01
IGHG2*023456
IGHG3*0135-19
IGHG3*04
IGHG4*01
IGHG4*04
IGHG1*012
IGHG1*034
IGHG1*05
IGHG1*01234
IGHG3*01-19
IGHG3*0610
IGHG1*0125
multiIGHG2*01-6_IGHG3*04
multiIGHG3*0135-19_IGHG4*04
